Y,X,Orig_Iss_D
37.78840000000,-122.39891000000,2008
37.78880000000,-122.39600000000,2008
37.78852000000,-122.39566000000,2005
37.78854000000,-122.39631000000,2003
37.78197000000,-122.40468000000,2008
37.78189000000,-122.40483000000,2008
37.78618000000,-122.39721000000,2002
37.78892000000,-122.39908000000,2002
37.78577000000,-122.39684000000,2001
37.78576000000,-122.39668000000,2001
37.78611000000,-122.39669000000,2001
37.78803000000,-122.39953000000,2000
37.78967000000,-122.39491000000,2000
37.79374000000,-122.40146000000,1990
37.79428000000,-122.40384000000,1988
37.79358000000,-122.39797000000,
37.79439000000,-122.40228000000,
37.79107000000,-122.39305000000,
37.78784000000,-122.40376000000,
37.78874000000,-122.40046000000,2002
37.78895000000,-122.40011000000,2002
37.78910000000,-122.40041000000,
37.79052000000,-122.39656000000,2005
37.77613000000,-122.41971000000,2002
37.79306000000,-122.40046000000,1986
37.79286000000,-122.40005000000,1986
37.79263000000,-122.40091000000,1986
37.79446000000,-122.40125000000,1985
37.79208000000,-122.39259000000,1989
37.79219000000,-122.39423000000,1986
37.79361000000,-122.39864000000,2000
37.79277000000,-122.40487000000,1990
37.78473000000,-122.40652000000,2006
37.78910000000,-122.39797000000,1985
37.79347000000,-122.39889000000,1990
37.78993000000,-122.39938000000,1984
37.78522000000,-122.39570000000,1982
37.79123000000,-122.39121000000,2001
37.78825000000,-122.39604000000,
37.78880000000,-122.39828000000,
